product_id,category_id,brand_id,name,description,specifications,warranty_months,return_days,is_final_sale,free_shipping,shipping_days,price,active,weight_kg,requires_installation,installation_notes
5001,1,37,Samsung Galaxy S24 Ultra,Celular insignia con cámara de 200MP y S Pen integrado,"Pantalla: 6.8in QHD+, RAM: 12GB, Almacenamiento: 512GB, Batería: 5000mAh",6,0,true,true,4,5529831.00,true,7.26,false,
5002,1,16,Laptop HP Pavilion 15.6in,Laptop ideal para trabajo y estudio con diseño moderno,"Procesador: Intel i5-12450H, RAM: 8GB, SSD: 512GB, Pantalla: FHD",12,60,false,false,4,2926279.00,false,1.48,false,
5003,1,3,MacBook Air M2,Portátil ultraligero con chip M2 para máximo rendimiento,"Chip: Apple M2, RAM: 8GB, SSD: 256GB, Pantalla: 13.6in Retina",12,0,true,false,4,5321008.00,true,3.14,false,
5004,1,41,Audífonos Sony WH-1000XM5,Audífonos premium con cancelación de ruido líder en la industria,"Driver: 30mm, ANC: Sí, Bluetooth: 5.2, Batería: 30 horas",36,60,false,false,5,1479197.00,true,7.29,false,
5005,1,37,Smart TV Samsung 55in 4K,Televisor inteligente con tecnología Crystal UHD,"Resolución: 4K UHD, HDR10+, Tizen OS, WiFi integrado",12,30,false,false,6,2181427.00,true,3.65,false,
5006,1,3,iPhone 15 Pro Max,El iPhone más avanzado con chip A17 Pro y titanio,"Pantalla: 6.7in OLED, Chip: A17 Pro, Cámara: 48MP, Almacenamiento: 256GB",24,60,false,false,2,6481727.00,true,2.31,false,
5007,1,25,Tablet Lenovo Tab P11,Tablet versátil para entretenimiento y productividad,"Pantalla: 11in 2K, Procesador: Snapdragon 662, RAM: 4GB, Batería: 7500mAh",18,60,false,false,10,1088354.00,true,5.54,false,
5008,1,41,Consola PlayStation 5,La consola de nueva generación con SSD ultrarrápido,"CPU: AMD Zen 2, GPU: RDNA 2, SSD: 825GB, Ray Tracing: Sí",12,60,false,false,9,2902810.00,true,2.21,false,
5009,1,47,Smartwatch Xiaomi Band 8,Pulsera inteligente con seguimiento de salud completo,"Pantalla: 1.62in AMOLED, Batería: 16 días, Resistencia: 5ATM",12,60,false,false,8,193246.00,true,2.02,false,
5010,1,23,Monitor LG UltraWide 34in,Monitor curvo ultrawide para gaming y productividad,"Resolución: 3440x1440, Tasa: 160Hz, Panel: IPS, HDR10",24,30,false,true,4,1799134.00,true,7.31,false,
5011,2,17,Nevera Haceb No Frost 400L,Nevera de doble puerta con tecnología No Frost,"Capacidad: 400L, No Frost: Sí, Dispensador: Agua, Eficiencia: A+",24,30,false,true,4,2527350.00,true,40.86,true,Requiere base o soporte de pared (no incluido). Instalación a cargo del cliente.
5012,2,45,Lavadora Whirlpool 18kg,Lavadora de carga superior con múltiples ciclos,"Capacidad: 18kg, Ciclos: 12, Velocidad: 750RPM, Ahorro agua: 40%",12,60,false,false,3,1932806.00,true,5.42,false,
5013,2,28,Estufa Mabe 4 Puestos,Estufa a gas con encendido eléctrico y horno,"Puestos: 4, Horno: 65L, Encendido: Eléctrico, Gas: Natural/Propano",36,30,false,false,8,711029.00,true,13.16,false,
5014,2,37,Aire Acondicionado Samsung 12000BTU,Aire acondicionado inverter con WiFi integrado,"Capacidad: 12000BTU, Inverter: Sí, WiFi: Sí, Eficiencia: A++",24,0,true,false,4,1612975.00,true,4.05,true,Se requiere conexión eléctrica de 220V. Verificar compatibilidad antes de instalar.
5015,2,33,Licuadora Oster Pro,Licuadora profesional con motor de alto rendimiento,"Motor: 1200W, Velocidades: 10, Vaso: 1.5L vidrio, Cuchillas: 6",36,30,false,true,5,283020.00,true,11.83,false,
